caja,exp_inicial,exp_final
1,3,2290
2,2300,4567
3,4570,6490
4,6492,7879
5,7882,9171
6,9173,10455
7,10456,12086
8,12091,13700
9,13701,15394
10,15400,16378
11,16381,17589
12,17590,19037
13,19038,20079
14,20080,21271
15,21272,22596
16,22607,23635
17,23636,24199
18,24200,24813
19,24815,25428
20,25429,26074
21,26078,26737
22,26738,27384
23,27385,27998
24,27999,28678
25,28680,29270
26,29272,29916
27,29917,31817
28,31819,35692
29,35693,37102
30,37106,40364
31,40365,40886
32,40888,41440
33,41442,42004
34,42007,42567
35,42569,43160
36,43162,43749
37,43752,44345
38,44346,44983
39,44984,45545
40,45547,46108
41,46109,46677
42,46678,47362
43,47364,47925
44,47928,48531
45,48532,49029
46,49031,49544
47,49545,50094
48,50095,50590
49,50591,51488
50,51492,53048
51,53049,54004
52,54006,54825
53,54827,55487
54,55488,57094
55,57095,58682
56,58685,67004
57,67005,67975
58,67976,71949
59,71951,80317
60,80319,97628
